pod_id,tName,p0_pod_pls,p1_pod_pls,p2_pod_pls
2017_8_10_v0_d1_grp46_PGA,PGA Championship (USA),alexander levy,jeunghun wang,jamie broce
2017_8_10_v0_d1_grp28_PGA,PGA Championship (USA),emiliano grillo,yuta ikeda,rod perry
2017_8_10_v0_d1_grp37_PGA,PGA Championship (USA),phil mickelson,jason dufner,jimmy walker
2017_8_10_v0_d1_grp44_PGA,PGA Championship (USA),bill haas,martin laird,graeme mcdowell
2017_8_10_v0_d1_grp1_PGA,PGA Championship (USA),james hahn,k.t. kim,greg gregory
2017_8_10_v0_d1_grp38_PGA,PGA Championship (USA),kevin chappell,byeong hun an,mackenzie hughes
2017_8_10_v0_d1_grp12_PGA,PGA Championship (USA),francesco molinari,william mcgirt,jim herman
2017_8_10_v0_d1_grp4_PGA,PGA Championship (USA),hideki matsuyama,ian poulter,ernie els
2017_8_10_v0_d1_grp39_PGA,PGA Championship (USA),rory mcilroy,rickie fowler,jon rahm
2017_8_10_v0_d1_grp3_PGA,PGA Championship (USA),alex noren,russell knox,scott hebert
2017_8_10_v0_d1_grp17_PGA,PGA Championship (USA),thomas pieters,xander schauffele,rod pampling
2017_8_10_v0_d1_grp16_PGA,PGA Championship (USA),dustin johnson,jason day,henrik stenson
2017_8_10_v0_d1_grp33_PGA,PGA Championship (USA),adam scott,webb simpson,luke donald
2017_8_10_v0_d1_grp40_PGA,PGA Championship (USA),brian harman,steve stricker,jonas blixt
2017_8_10_v0_d1_grp51_PGA,PGA Championship (USA),jamie lovemark,luke list,chris moody
2017_8_10_v0_d1_grp7_PGA,PGA Championship (USA),paul casey,bubba watson,charl schwartzel
2017_8_10_v0_d1_grp11_PGA,PGA Championship (USA),wesley bryan,sung kang,dylan frittelli
2017_8_10_v0_d1_grp36_PGA,PGA Championship (USA),marc leishman,danny lee,anirban lahiri
2017_8_10_v0_d1_grp41_PGA,PGA Championship (USA),justin rose,matt kuchar,chris kirk
2017_8_10_v0_d1_grp31_PGA,PGA Championship (USA),branden grace,pat perez,thomas bjorn
2017_8_10_v0_d1_grp2_PGA,PGA Championship (USA),shane lowry,pablo larrazabal,stuart deane
2017_8_10_v0_d1_grp43_PGA,PGA Championship (USA),daniel berger,kevin kisner,jim furyk
2017_8_10_v0_d1_grp27_PGA,PGA Championship (USA),lucas glover,hideto tanihara,matt dobyns
2017_8_10_v0_d1_grp48_PGA,PGA Championship (USA),haotong li,ryan fox,jj wood
2017_8_10_v0_d1_grp6_PGA,PGA Championship (USA),justin thomas,tommy fleetwood,patrick reed
2017_8_10_v0_d1_grp29_PGA,PGA Championship (USA),jason kokrak,satoshi kodaira,mike small
2017_8_10_v0_d1_grp22_PGA,PGA Championship (USA),david lingmerth,nicolas colsaerts,scott brown
2017_8_10_v0_d1_grp18_PGA,PGA Championship (USA),keegan bradley,padraig harrington,davis love iii
2017_8_10_v0_d1_grp20_PGA,PGA Championship (USA),charley hoffman,zach johnson,lee westwood
2017_8_10_v0_d1_grp0_PGA,PGA Championship (USA),peter uihlein,grayson murray,rich berberian
2017_8_10_v0_d1_grp21_PGA,PGA Championship (USA),bernd wiesberger,cameron smith,brandon stone
2017_8_10_v0_d1_grp42_PGA,PGA Championship (USA),adam hadwin,tyrrell hatton,d.a. points
2017_8_10_v0_d1_grp10_PGA,PGA Championship (USA),charles howell iii,young han song,dave mcnabb
2017_8_10_v0_d1_grp30_PGA,PGA Championship (USA),russell henley,joost luiten,paul claxton
2017_8_10_v0_d1_grp34_PGA,PGA Championship (USA),y.e. yang,shaun micheel,omar uresti
2017_8_10_v0_d1_grp8_PGA,PGA Championship (USA),jordan spieth,brooks koepka,sergio garcia
2017_8_10_v0_d1_grp19_PGA,PGA Championship (USA),brendan steele,thorbjorn olesen,hudson swafford
2017_8_10_v0_d1_grp9_PGA,PGA Championship (USA),tony finau,fabrizio zanotti,adam rainaud
2017_8_10_v0_d1_grp45_PGA,PGA Championship (USA),rafa cabrera bello,ross fisher,ryan moore
2017_8_10_v0_d1_grp32_PGA,PGA Championship (USA),patrick cantlay,soren kjeldsen,thongchai jaidee
2017_8_10_v0_d1_grp15_PGA,PGA Championship (USA),j.b. holmes,louis oosthuizen,danny willett
2017_8_10_v0_d1_grp14_PGA,PGA Championship (USA),vijay singh,john daly,rich beem
2017_8_10_v0_d1_grp13_PGA,PGA Championship (USA),gary woodland,kyle stanley,andy sullivan
2017_8_10_v0_d2_grp4_PGA,PGA Championship (USA),russell henley,joost luiten,paul claxton
2017_8_10_v0_d2_grp0_PGA,PGA Championship (USA),bud cauley,graham delaet,david muttitt
2017_8_10_v0_d2_grp38_PGA,PGA Championship (USA),jordan spieth,brooks koepka,sergio garcia
2017_8_10_v0_d2_grp15_PGA,PGA Championship (USA),adam hadwin,tyrrell hatton,d.a. points
2017_8_10_v0_d2_grp14_PGA,PGA Championship (USA),matt kuchar,justin rose,chris kirk
2017_8_10_v0_d2_grp6_PGA,PGA Championship (USA),patrick cantlay,soren kjeldsen,thongchai jaidee
2017_8_10_v0_d2_grp35_PGA,PGA Championship (USA),gary woodland,kyle stanley,andy sullivan
2017_8_10_v0_d2_grp5_PGA,PGA Championship (USA),branden grace,pat perez,thomas bjorn
2017_8_10_v0_d2_grp20_PGA,PGA Championship (USA),jhonattan vegas,jordan smith,bryson dechambeau
2017_8_10_v0_d2_grp42_PGA,PGA Championship (USA),keegan bradley,padraig harrington,davis love iii
2017_8_10_v0_d2_grp31_PGA,PGA Championship (USA),sung kang,wesley bryan,dylan frittelli
2017_8_10_v0_d2_grp37_PGA,PGA Championship (USA),vijay singh,john daly,rich beem
2017_8_10_v0_d2_grp13_PGA,PGA Championship (USA),brian harman,steve stricker,jonas blixt
2017_8_10_v0_d2_grp26_PGA,PGA Championship (USA),shane lowry,pablo larrazabal,stuart deane
2017_8_10_v0_d2_grp29_PGA,PGA Championship (USA),charles howell iii,young han song,dave mcnabb
2017_8_10_v0_d2_grp17_PGA,PGA Championship (USA),bill haas,martin laird,graeme mcdowell
2017_8_10_v0_d2_grp33_PGA,PGA Championship (USA),francesco molinari,jim herman,william mcgirt
2017_8_10_v0_d2_grp36_PGA,PGA Championship (USA),paul casey,charl schwartzel,bubba watson
2017_8_10_v0_d2_grp25_PGA,PGA Championship (USA),grayson murray,peter uihlein,rich berberian
2017_8_10_v0_d2_grp10_PGA,PGA Championship (USA),jason dufner,phil mickelson,jimmy walker
2017_8_10_v0_d2_grp32_PGA,PGA Championship (USA),robert streb,chris wood,daniel summerhays
2017_8_10_v0_d2_grp3_PGA,PGA Championship (USA),jason kokrak,satoshi kodaira,mike small
2017_8_10_v0_d2_grp28_PGA,PGA Championship (USA),alex noren,russell knox,scott hebert
2017_8_10_v0_d2_grp9_PGA,PGA Championship (USA),marc leishman,danny lee,anirban lahiri
2017_8_10_v0_d2_grp2_PGA,PGA Championship (USA),emiliano grillo,yuta ikeda,rod perry
2017_8_10_v0_d2_grp43_PGA,PGA Championship (USA),brendan steele,thorbjorn olesen,hudson swafford
2017_8_10_v0_d2_grp16_PGA,PGA Championship (USA),daniel berger,kevin kisner,jim furyk
2017_8_10_v0_d2_grp27_PGA,PGA Championship (USA),tony finau,fabrizio zanotti,adam rainaud
2017_8_10_v0_d2_grp7_PGA,PGA Championship (USA),adam scott,webb simpson,luke donald
2017_8_10_v0_d2_grp18_PGA,PGA Championship (USA),rafa cabrera bello,ryan moore,ross fisher
2017_8_10_v0_d2_grp41_PGA,PGA Championship (USA),thomas pieters,xander schauffele,rod pampling
2017_8_10_v0_d2_grp40_PGA,PGA Championship (USA),dustin johnson,jason day,henrik stenson
2017_8_10_v0_d2_grp11_PGA,PGA Championship (USA),kevin chappell,byeong hun an,mackenzie hughes
2017_8_10_v0_d2_grp48_PGA,PGA Championship (USA),chris stroud,richard sterne,ryan vermeer
2017_8_10_v0_d2_grp12_PGA,PGA Championship (USA),rory mcilroy,rickie fowler,jon rahm
2017_8_10_v0_d2_grp30_PGA,PGA Championship (USA),hideki matsuyama,ian poulter,ernie els
2017_8_10_v0_d2_grp45_PGA,PGA Championship (USA),bernd wiesberger,cameron smith,brandon stone
2017_8_10_v0_d2_grp47_PGA,PGA Championship (USA),james hahn,k.t. kim,greg gregory
2017_8_10_v0_d2_grp39_PGA,PGA Championship (USA),louis oosthuizen,j.b. holmes,danny willett
2017_8_10_v0_d2_grp44_PGA,PGA Championship (USA),zach johnson,charley hoffman,lee westwood
2017_8_10_v0_d2_grp1_PGA,PGA Championship (USA),lucas glover,hideto tanihara,matt dobyns
2017_8_17_v0_d1_grp2_PGA,Wyndham Championship (USA),shane lowry,retief goosen,billy hurley iii
2017_8_17_v0_d1_grp5_PGA,Wyndham Championship (USA),nick taylor,william mcgirt,vaughn taylor
2017_8_17_v0_d1_grp0_PGA,Wyndham Championship (USA),robert streb,kevin na,brian gay
2017_8_17_v0_d1_grp6_PGA,Wyndham Championship (USA),webb simpson,ryan moore,davis love iii
